JOB TITLE,COMPANY,SALARY,LOCATION,SUMMARY,POST DATE,EXTRACT DATE,JOB URL
JavaScript Developer,OptiPhoenix,"₹25,000 - ₹55,000 a month","Janakpuri, Delhi, Delhi","Proficient in design software such as Figma, Sketch or Photoshop.
Develop new user-facing features.
Developing AB Test experiments using tools such as Optimizely, Adobe Analytics etc.",9 days ago,2021-06-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DswZ2Y-TP89vGl-b6FSUyhPkTTNAPx7bHozTqsyfEJRKAoGUJKRHomEG-qzDl9ZmbS3rD2PQ_izeNHE6gzSY_J8yeBMZcpdFFM5zfIECwz3y_YIvn0FkQWWY9D7P5OKPchwfB3_LApfmCssCCZ0AAaFwtUOMiWhg2Die1iBMOUvC_LpPEXuZio75mqW2kP37y-hcH8K2xZuh5hlktEmRFlMjXcPa6oltblz-VycHWtwhq7B1olL0d_QjRWiKj04i1fu_LclItBLKHsl1_Boj5Uxjjhm7Gr-KHkjgpSdd1erKl_Hp3AYD9X_EqLYV2qiLlPnLEfgDLiUlAQZY4LTTqvDsMBQ60XP1gGYYXxNfNP85a03gBocnicmPwBqndZw9l1l3i5fwnvZCj3PUoa-rVZfFMMtapjlazBluU5XBEV1IM5CdiQDdLVEJEBkqxEn8l29hTq0qeT6JyrWMbGNoLc0PntoMStGTU18ASq6uF8a15SynxQhLW4&p=0&fvj=1&vjs=3
Web Developer,Akua Behavioral Health,"₹10,00,000 - ₹12,00,000 a year","New Delhi, Delhi","Proficient design skills: for both SEO and end-user simplicity.
Must have both solid experience in programming languages and design best practices.
The Webmaster position at Akua will be responsible…",24 days ago,2021-06-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKU_KwcAl-B1BHFgCu_rlSdkq9IY0obZ9JUZdZJ2QvHjhnCZ4KWzBiEnqdGH9CAGxAwL8lkLM8B6FA2jQpKu-0xpw8_k9C0hzIjniqtMHP4bSi0VeTwgBwkWNMjQY_8BrT0mfneorVs9AhQUclWWn3EXzA0vE4QQx-gNjlBcZY8U4jL2LZ6Zsp6jsOqUW9M55pE6E9qgmdnQ_vRM7bHqnOt_rfF2SxUiiiFgZ3-J7__39NzpG_7eFBnG_quL2OpztoCS9mCSndVDMC5ZCIHGMMZd98LtOLqEnBa5upacm9PK6r5gyywSVrCrdJdkauKN6PiEuOC2TEJEq8ITyv5uCtj6i1u1LyEMOXU7vQxOWex5yB7Fp2tJiFHn4pvPYBh0c8riZAs_aMhie1QpuimZTNVXve6UONlF53WNFdH9Hgo_zWgdKk-kjLul-k71oxW9HE5Ka7RQecuLk4HQQsqoyNUVYS8Tv8a6_ex4EnstLNkA==&p=1&fvj=1&vjs=3
Software Developer,Andromobi,"₹10,000 - ₹15,000 a month","Noida, Uttar Pradesh","Reverse Engineering, Api Development and module of a large project.
Good logical ability, Understanding of Algorithm and Data Structure.
Expertise in any programming language.",Today,2021-06-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUjxFVlX-UBvpWTdv_u-T3TA_nXfP1MrZ4AOYPbRkTmuoRs9syRo7FasU-OTHg8FdznmA_t18BYKA3PNkt7v5PGaW_jZLOqTd3ewmRwrnYzhW-8JdKgsuT4CiLKbt2wQgiaOpPaNy3hgXx1wdv3f9oF7HGbi_N6BvJkyHPhiK8v-qKnfRZLNooOgIRK-SXJi_OHpfOSLZ2ly8DyQm1DHvZ_hBrhBhlYWy2aPm6duoL-SxulWSvi5THp1ftOrC6K2fi4FyJjiWiom_kkYhRwdDiDTonpeeY5tSSRt4EiPztZCBu5QY6BMDL9OtoG9XZNBpJoCWBJpOHNlr0SfPKOqIeklksL6hWGxgkPaf5B6CHIFV9hVQwVcpxxIAGB-ZNOlFrZfIxZqgEQEfkAG5zs3d7TaqmGsK5dmctvnLddmmxHSobD5uQE8usQfZU1w_ihUajMB-8COaGoC3D6s8hVT4uIjraXvRgCUddUxHYT1sdrAW8kUD1qA1Y&p=2&fvj=1&vjs=3
Software Engineer,Aspirify Enterprises Pvt. Ltd.,"₹45,000 a month",,Perform regular internal technical coordination / review to ensure risk identification and to support the initiation of risk mitigation by Project Manager and all relevant project stakeholders..,1 day ago,2021-06-18,https://www.indeed.com/company/Aspirify-Enterprises-Pvt.-Ltd./jobs/Software-Engineer-a65bbcb0eeb2f737?fccid=093596c34178fdc8&vjs=3
Dot Net Developer (2 years bond terms),Sagar Informatics Pvt Ltd,"₹8,000 a month","Munirka, Delhi","On selection, Next 5 months live industrial project training with a stipend of INR 8,000/month.
Candidate applying will be working as a trainee for project.
Minimum Graduation (BCA, MCA, B tech).",5 days ago,2021-06-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bgij00CqwLJsDpuomi8zOh2BW9fs-_Zj0m2UH3jcWTFCDBPu2JQpIQ8qEhs-39I4xRShLcOo2-lIMucKgir2XM8Eb8H2H3-k6l3SAT0ZtatR95nJ8tWKJekfB-iDayy3z9pVbhCDV3HNfJ8YWVl-veLnCm6mqGpmvl1uSusFQThhIv0t5uF6dcYJTsB_a8DszxDV92XYb7RA7X-01eu37wYKE-BWNquyVKcy0Ukp11QnZbnTC-RSll07s3hsswx-8Zasus0uhlyNAUvLSceGTJJ4res2R0F0ZlMk6rjZM4XMfoSz3S_mJNRXg3MXAIq3qizs0DxYQI3O25BjvwA5JaiV9nkiCKfAK-JeD79B_TAay3vcd5Wi5g7UIvd0xu0HutVHefsxslWl5cOeL8oLB9GS4apHT0sG8JJtscWYeeE8hcyKsKN0YoTprf7296zJ7RDA7twZpteaWLa8KS5x6Q5DYr-I9qlY2FpnxMJ6Z1EvavMOguPnw5kjeBLtobsZg=&p=4&fvj=1&vjs=3
Software Developer,iAdept Marketing,,,"Previous exposure to Vibration Route and analysis software preferred.
NET and Micro controller programming experience is must.
All India exposure in previous assignments will be preferred.",Today,2021-06-18,https://www.indeed.com/rc/clk?jk=a1bb8976896af1a6&fccid=db6674c91bc8aad0&vjs=3
Software Developer,Focus Softnet Pvt Ltd,"₹4,50,000 a year",,"Unit testing of the application to ensure quality release to QA.
Prepare project specific documentation as required by project.
Software development as per project schedule.",1 day ago,2021-06-18,https://www.indeed.com/company/Focus-Softnet-Pvt-Ltd/jobs/Software-Developer-a04af5c00868d320?fccid=67595203c741adee&vjs=3
Software Engineer,NatWest Group,,,"You’ll need a background in software engineering, software design, architecture, and an understanding of how your area of expertise supports our customers.
The skills you'll need.",Just posted,2021-06-18,https://www.indeed.com/rc/clk?jk=fca581bddcaef879&fccid=4a3a2b1eb3ec0691&vjs=3
Software Developer,UA Placement,"₹35,000 - ₹60,000 a month",,"Role : Dot Net Developer (Exp must in MVC).
Job Types: Full-time, Regular / Permanent.
Temporarily due to COVID-19.",9 days ago,2021-06-18,https://www.indeed.com/company/UA-Placement/jobs/Software-Developer-165fcb1f7729f39c?fccid=b5da20ad9e9be9d0&vjs=3
Web Designer & Developer,The shubham group,"₹9,730 - ₹12,893 a month",,"Working knowledge of design tools (Adobe Photoshop, Illustrator, or any other relevant software).
Well-versed with Photoshop, Indesign, Illustrator.
The candidate will be required to prepare corporate…",Just posted,2021-06-18,https://www.indeed.com/company/the-shubham-groups/jobs/Web-Designer-Developer-cea2e7865e298d65?fccid=655137d137c3d335&vjs=3
